title,text,label
"Flat Earth Proven by Satellite Images", "‘Hidden’ NASA photos show ice wall at edge.", FAKE
"Area 51 Security Guard Marries Alien", "Couple vows to ‘merge galaxies’ in secret ceremony.", FAKE
"Congress Mandates Daily Ice Cream Breaks", "Bipartisan bill cites ‘national morale boost’.", FAKE
"Scientists Declare Pigeons Government Drones", "‘Birds aren’t real’ movement gains traction.", FAKE
"New Law Requires Cats to Wear Pants", "Animal rights groups call it ‘overreach’.", FAKE
"Study: 90% of Humans Secretly Lizards", "DNA ‘anomalies’ suggest reptilian ancestry.", FAKE
"Parallel Universe Detected in Antarctica", "Researchers find ‘mirror particles’ in ice.", FAKE
"Ancient Humans Had Telepathy", "Fossilized skulls show ‘third eye’ cavities.", FAKE
"Gravity Disproven by New Experiment", "Objects float in lab under ‘anti-mass’ field.", FAKE
"Sun Emits ‘Harmonic Frequency’ That Heals", "NASA data allegedly shows health benefits.", FAKE
"Ocean Contains ‘Intelligent’ Water", "Marine biologists report ‘self-organizing’ waves.", FAKE
"NASA Confirms Alien Megastructure Around Distant Star", "Mysterious light patterns suggest massive extraterrestrial structure.", FAKE
"Study Finds Chocolate Consumption Linked to Higher IQ — But Only on Tuesdays", "Researchers claim unusual cognitive boost limited to Tuesdays.", FAKE
"WHO Issues New Warning on Airborne Transmission of COVID-19", "Updated guidelines highlight increased risks in enclosed spaces.", REAL
"Government Plans to Ban Oxygen Usage During Peak Hours to Combat Pollution", "Policy draft proposes controlled oxygen access in urban areas.", FAKE
"Local Man Claims to Time Travel, Predicts Stock Market Crash", "Unverified traveler shares predictions of financial turmoil.", FAKE
"Revolutionary Device Converts Air into Clean Water, Tested Successfully in Desert", "Prototype extracts drinkable water from thin air in extreme climates.", REAL
"BREAKING: Earthquake Shakes California — No Casualties Reported", "Seismic event causes damage but spares lives.", REAL
"Elon Musk Announces Neuralink Chip Will Let You Speak Any Language Instantly", "New brain implant allegedly decodes and translates thought.", REAL
"Researchers Discover That Drinking 8 Cups of Water a Day Increases Lifespan by 50%", "Health study claims dramatic longevity benefits from hydration.", FAKE
"Major Study Shows Climate Change is Accelerating Faster Than Predicted", "Environmental report reveals faster-than-expected warming trends.", REAL
"Ancient Humans Had Telepathy", "Fossilized skulls show ‘third eye’ cavities.", FAKE
"Gravity Disproven by New Experiment", "Objects float in lab under ‘anti-mass’ field.", FAKE
"Sun Emits ‘Harmonic Frequency’ That Heals", "NASA data allegedly shows health benefits.", FAKE
"Ocean Contains ‘Intelligent’ Water", "Marine biologists report ‘self-organizing’ waves.", FAKE
"Scientists Successfully Clone Extinct Dinosaur", "DNA recovered from amber used to create living specimen.", FAKE
"Doctors Cure Blindness with Sound Waves", "New therapy restores sight using targeted frequencies.", FAKE
"AI Predicts Future Crimes with 99% Accuracy", "Government trials predictive policing software.", FAKE
"Google Earth Reveals Hidden Ancient City in Sahara", "Satellite images uncover lost civilization.", REAL
"Scientists Find Evidence of Life on Mars", "Rover detects microbial fossils in Martian soil.", REAL
"New Drug Reverses Aging in Mice", "Breakthrough treatment shows rejuvenation effects.", REAL
"Time Crystal Created in Lab Defies Laws of Physics", "Quantum system maintains perpetual motion state.", REAL
"Government Hides Evidence of Alien Contact in Antarctica", "Whistleblower claims cover-up of extraterrestrial base.", FAKE
"Earth’s Core Has Stopped Spinning, Scientists Say", "Study reveals unusual behavior deep inside planet.", REAL
"Vatican Library Hides Books Written by Aliens", "Leaked documents suggest extraterrestrial texts exist.", FAKE
"Plants Can Scream When in Pain", "Audio sensors detect distress signals in greenery.", REAL
"New Element Discovered That Floats Above Water", "Physicists confirm material lighter than air and water.", FAKE
"NASA Captures Image of Gigantic Space Serpent", "Astronomers spot snake-like anomaly near asteroid belt.", FAKE
"Elon Musk to Build First City on Mars by 2030", "Plans announced for self-sustaining Martian colony.", REAL
"Moon Landing Was Staged in Hollywood Studio", "Decades-old conspiracy resurfaces with new ‘proof’.", FAKE
"Sharks Live for Over 500 Years, Study Finds", "Greenland sharks confirmed as longest-living vertebrates.", REAL
"Scientists Discover Hidden Chamber Inside Great Pyramid", "Advanced scanning reveals unexplored void.", REAL
"Neural Link Allows Paralyzed Man to Walk Again", "Brain-computer interface enables mobility restoration.", REAL
"Scientists Turn Seawater into Fuel", "New process converts ocean water into clean energy.", REAL
"World’s First Invisibility Cloak Unveiled", "Prototype hides objects using light-bending materials.", FAKE
"Dinosaurs May Still Exist in Remote Rainforests", "Explorers report sightings of large reptilian creatures.", FAKE
"WHO Warns of Zombie Virus Mutation","Strain could reanimate dead tissue, says leaked doc.",FAKE
